chords	cp	key	section	song	artist
['A', 'F#m', 'E', 'A']	1,6,5,1	9.0		i want it that way	backstreet boys
['C#', 'A#m', 'G#', 'C#']	1,6,5,1	1.0		riptide	vance joy
['C#', 'A#m', 'G#', 'C#']	1,6,5,1	1.0		massachusetts	ylvis
['F', 'Dm', 'C', 'F']	1,6,5,1	5.0		gaucho	steely dan
['F#', 'D#m', 'C#', 'F#']	1,6,5,1	6.0		team	lorde
['Gm', 'E', 'Dm', 'Gm']	1,6,5,1	7.0		like i can 	sam smith
['G', 'Em', 'D', 'G']	1,6,5,1	7.0		knee play 1	philip glass
['D#', 'Cm', 'A#', 'D#']	1,6,5,1	3.0		last chance to lose your keys	brand new
['B', 'G#m', 'F#', 'B']	1,6,5,1	11.0		headlights	robin schulz
['F#m', 'D#', 'C#m', 'F#m']	1,6,5,1	6.0		send my love	adele
['F#m', 'D#', 'C#m', 'G#d']	1,6,5,2	6.0		fluorescent adolescent	arctic monkeys
['A#', 'Gm', 'F', 'Cm']	1,6,5,2	10.0		anthem	emancipator
['C#', 'A#m', 'G#', 'D#m']	1,6,5,2	1.0		one step at a time	jordin sparks
['Em', 'C#', 'Bm', 'F#d']	1,6,5,2	4.0		king	years and years
['C#', 'A#m', 'G#', 'A#m']	1,6,5,6	1.0		buzzcut season	lorde
['F', 'Dm', 'C', 'Dm']	1,6,5,6	5.0		thing of gold	snarky puppy
['Cm', 'A', 'Cm', 'A']	1,6,1,6	0.0		enjoy the silence	depeche mode
['B', 'G#m', 'B', 'G#m']	1,6,1,6	11.0		dance yrself clean	lcd soundsystem
['A#m', 'G', 'A#m', 'G']	1,6,1,6	10.0		in bloom	nirvana
['A', 'F#m', 'A', 'F#m']	1,6,1,6	9.0		buffalo soldier	bob marley
['A', 'F#m', 'A', 'F#m']	1,6,1,6	9.0		oh pretty woman	roy orbison
['D', 'Bm', 'D', 'Bm']	1,6,1,6	2.0		hey there delilah	plain white t's
['E', 'C#m', 'E', 'C#m']	1,6,1,6	4.0		morning mood	edvard grieg
['G#', 'Fm', 'G#', 'Fm']	1,6,1,6	8.0		heartbeats	the knife
['D', 'Bm', 'D', 'Bm']	1,6,1,6	2.0		eye in the sky	alan parsons project
['C', 'Am', 'C', 'Am']	1,6,1,6	0.0		big shot	billy joel
['G', 'Em', 'G', 'Em']	1,6,1,6	7.0		cherry blossoms	the horrible crowes
['G', 'Em', 'G', 'Em']	1,6,1,6	7.0		sukiyaki	kyu sakamoto
['C', 'Am', 'C', 'Am']	1,6,1,6	0.0		from me to you	the beatles
['G#', 'Fm', 'G#', 'Fm']	1,6,1,6	8.0		maria - i like it loud	scooter
['D#', 'Cm', 'D#', 'Cm']	1,6,1,6	3.0		ocean	amber
['C', 'Am', 'C', 'Am']	1,6,1,6	0.0		evident utensil	chairlift
['Em', 'C#', 'Em', 'C#']	1,6,1,6	4.0		cake by the ocean	dnce
['G#', 'Fm', 'G#', 'Fm']	1,6,1,6	8.0		old 45s	chromeo
['C#', 'A#m', 'C#', 'A#m']	1,6,1,6	1.0		heartbreaker	mariah carey
['Fm', 'D', 'Fm', 'D']	1,6,1,6	5.0		special	garbage
['A', 'F#m', 'A', 'D']	1,6,1,4	9.0		videotape	radiohead
['G', 'Em', 'G', 'C']	1,6,1,4	7.0		party fears two	associates
['A', 'F#m', 'A', 'D']	1,6,1,4	9.0		all in forms	bonobo
['F#m', 'D#', 'F#m', 'A#']	1,6,1,3	6.0		video games	lana del rey
['G', 'Em', 'G', 'Bm']	1,6,1,3	7.0		right here	jess glynne
['A#m', 'G', 'Cd', 'Fm']	1,6,2,5	10.0		boyfriend	justin bieber
['G', 'Em', 'Am', 'D']	1,6,2,5	7.0		sherry	the four seasons
['Bm', 'G#', 'C#d', 'F#m']	1,6,2,5	11.0		last christmas	wham
['F', 'Dm', 'Gm', 'C']	1,6,2,5	5.0		play the game	queen
['Fm', 'D', 'Gd', 'Cm']	1,6,2,5	5.0		this love	maroon 5
['G#', 'Fm', 'A#m', 'D#']	1,6,2,5	8.0		mclarty party people	danny baranowsky
['E', 'C#m', 'F#m', 'B']	1,6,2,5	4.0		uptown girl	billy joel
['Dm', 'B', 'Ed', 'Am']	1,6,2,5	2.0		hang in there	timothy bishop
['Am', 'F#', 'Bd', 'Em']	1,6,2,5	9.0		wouldn't it be nice	the beach boys
['G#', 'Fm', 'A#m', 'D#']	1,6,2,5	8.0		over the rainbow	judy garland
['C#', 'A#m', 'D#m', 'G#']	1,6,2,5	1.0		honey	mariah carey
['F#m', 'D#', 'G#d', 'C#m']	1,6,2,5	6.0		wait	the beatles
['C#', 'A#m', 'D#m', 'F#']	1,6,2,4	1.0		frozen	madonna
['F#', 'D#m', 'G#m', 'B']	1,6,2,4	6.0		a fond farewell	elliott smith
['Bm', 'G#', 'C#d', 'Em']	1,6,2,4	11.0		just right	got7
['C', 'Am', 'Dm', 'F']	1,6,2,4	0.0		mr kaizers hans constanze og meg	kaizers orchestra
['C', 'Am', 'Dm', 'F']	1,6,2,4	0.0		every day is exactly the same	nine inch nails
['Dm', 'B', 'Ed', 'Dm']	1,6,2,1	2.0		beast nite	rustie
['A', 'F#m', 'Bm', 'A']	1,6,2,1	9.0		cool world	red velvet
['Fm', 'D', 'Gd', 'Fm']	1,6,2,1	5.0		daddy cool	boney m
['C', 'Am', 'Em', 'F']	1,6,3,4	0.0		if we hold on together	diana ross
['C#', 'A#m', 'Fm', 'F#']	1,6,3,4	1.0		the heart of life	john mayer
['G', 'Em', 'Bm', 'C']	1,6,3,4	7.0		i will be	leona lewis
['G', 'Em', 'Bm', 'C']	1,6,3,4	7.0		ode to my family	the cranberries
['A', 'F#m', 'C#m', 'D']	1,6,3,4	9.0		a million lights	grant smillie and walden
['F', 'Dm', 'Am', 'A#']	1,6,3,4	5.0		hero	family of the year
['C#', 'A#m', 'Fm', 'F#']	1,6,3,4	1.0		brand new kind of blue	gold motel
['G', 'Em', 'Bm', 'C']	1,6,3,4	7.0		jag ser dig	kent
['F', 'Dm', 'Am', 'A#']	1,6,3,4	5.0		afraid of heights	wavves
['G#m', 'F', 'C', 'C#m']	1,6,3,4	8.0		we are the sea	marnie
['G#', 'Fm', 'Cm', 'C#']	1,6,3,4	8.0		always forever	cults
['F#', 'D#m', 'A#m', 'B']	1,6,3,4	6.0		viva forever	spice girls
['Bm', 'G#', 'D#', 'Em']	1,6,3,4	11.0		lost girls	lindsey stirling
['B', 'G#m', 'D#m', 'F#']	1,6,3,5	11.0		from little things big things grow	paul kelly
['A', 'F#m', 'C#m', 'E']	1,6,3,5	9.0		you got it	roy orbison
['A#', 'Gm', 'Dm', 'A#']	1,6,3,1	10.0		the fear	lily allen
['Bm', 'C#d', 'G#', 'Em']	1,2,6,4	11.0		halo	beyonce
['E', 'F#m', 'C#m', 'A']	1,2,6,4	4.0		starlight	muse
['Gm', 'Ad', 'E', 'Cm']	1,2,6,4	7.0		roar	katy perry
['E', 'F#m', 'C#m', 'A']	1,2,6,4	4.0		ribs	lorde
['Em', 'F#d', 'C#', 'Am']	1,2,6,4	4.0		milky ways	bossfight
['B', 'C#m', 'G#m', 'E']	1,2,6,4	11.0		antonia	motion city soundtrack
['A', 'Bm', 'F#m', 'D']	1,2,6,4	9.0		break through the silence	martin garrix
['Fm', 'Gd', 'D', 'A#m']	1,2,6,4	5.0		fire meet gasoline	sia
['D', 'Em', 'Bm', 'G']	1,2,6,4	2.0		hotel california	eagles
['D', 'Em', 'Bm', 'G']	1,2,6,4	2.0		1234	feist
['D', 'Em', 'Bm', 'G']	1,2,6,4	2.0		pills n potions	nicki minaj
['C', 'Dm', 'Am', 'F']	1,2,6,4	0.0		all my friends	snakehips
['Gm', 'Ad', 'E', 'Dm']	1,2,6,5	7.0		the electric dream	mord fustang
['D', 'Em', 'Bm', 'A']	1,2,6,5	2.0		one night	matthew koma
['Bm', 'C#d', 'G#', 'F#m']	1,2,6,5	11.0		taking flight	blend
['B', 'C#m', 'G#m', 'F#']	1,2,6,5	11.0		pretty hurts	beyonce
['Cm', 'Dd', 'A', 'Gm']	1,2,6,5	0.0		antechamber	latitudes
['A#', 'Cm', 'Gm', 'F']	1,2,6,5	10.0		not over you	gavin degraw
['Am', 'Bd', 'F#', 'Em']	1,2,6,5	9.0		come play perfect	boom jinx
['A', 'Bm', 'F#m', 'E']	1,2,6,5	9.0		easy love	sigala
['C', 'Dm', 'Am', 'G']	1,2,6,5	0.0		black swan	thom yorke
['E', 'F#m', 'C#m', 'B']	1,2,6,5	4.0		starving	hailee steinfeld
['B', 'C#m', 'G#m', 'B']	1,2,6,1	11.0		the infraworld	lorne balfe
['C', 'Dm', 'Am', 'C']	1,2,6,1	0.0		a song for milly michaelson	thrice
['D', 'Em', 'Bm', 'D']	1,2,6,1	2.0		grotesque	ram and alex morph
['A', 'Bm', 'F#m', 'A']	1,2,6,1	9.0		aqueous transmission	incubus
['F#m', 'G#d', 'D#', 'F#m']	1,2,6,1	6.0		rift	matt lange
['A#m', 'Cd', 'G', 'A#m']	1,2,6,1	10.0		tomorrow	niki and the dove
['F#m', 'G#d', 'D#', 'F#m']	1,2,6,1	6.0		sun and moon	above and beyond
['C#', 'D#m', 'A#m', 'C#']	1,2,6,1	1.0		one dance	drake
['C', 'Dm', 'F', 'G']	1,2,4,5	0.0		my girl	the temptations
['E', 'F#m', 'A', 'B']	1,2,4,5	4.0		99 luftballons	nena
['F#m', 'G#d', 'Bm', 'C#m']	1,2,4,5	6.0		at the indie disco	the divine comedy
['C#', 'D#m', 'F#', 'G#']	1,2,4,5	1.0		sell out	reel big fish
['Fm', 'Gd', 'A#m', 'Cm']	1,2,4,5	5.0		good for you	selena gomez
['A', 'Bm', 'D', 'E']	1,2,4,5	9.0		tiny	dinosaur jr
['D#m', 'Fd', 'G#m', 'D#m']	1,2,4,1	3.0		in the end	linkin park
['F', 'Gm', 'A#', 'F']	1,2,4,1	5.0		kate	ben folds five
['A', 'Bm', 'D', 'A']	1,2,4,1	9.0		title and registration	death cab for cutie
['A', 'Bm', 'D', 'A']	1,2,4,1	9.0		green eyes	coldplay
['D#m', 'Fd', 'G#m', 'D#m']	1,2,4,1	3.0		bulletproof	la roux
['F#', 'G#m', 'B', 'F#']	1,2,4,1	6.0		the sound of settling	death cab for cutie
['C', 'Dm', 'F', 'C']	1,2,4,1	0.0		wildflower	mitis
['F', 'Gm', 'A#', 'F']	1,2,4,1	5.0		waste	phish
['C', 'Dm', 'F', 'C']	1,2,4,1	0.0		never be like you feat kai	flume
['C', 'Dm', 'F', 'C']	1,2,4,1	0.0		blue monday	new order
['Bm', 'C#d', 'Em', 'G#']	1,2,4,6	11.0		too close	alex clare
['F#m', 'G#d', 'Bm', 'D#']	1,2,4,6	6.0		friends in the armed forces	thursday
['Dm', 'Ed', 'Gm', 'B']	1,2,4,6	2.0		dragonland	thomas bergersen
['Em', 'F#d', 'Am', 'C#']	1,2,4,6	4.0		ghost town	adam lambert
['Em', 'F#d', 'Am', 'C#']	1,2,4,6	4.0		please don't go	mike posner
['Bm', 'C#d', 'Em', 'G#']	1,2,4,6	11.0		outer science	jin
['Bm', 'C#d', 'D#', 'Em']	1,2,3,4	11.0		boys don't cry	the cure
['G', 'Am', 'Bm', 'C']	1,2,3,4	7.0		here i am	adam green and binki shapiro
['Fm', 'Gd', 'A', 'A#m']	1,2,3,4	5.0		glowing	nikki williams
['G', 'Am', 'Bm', 'C']	1,2,3,4	7.0		here there and everywhere	the beatles
['C#m', 'D#d', 'F', 'F#m']	1,2,3,4	1.0		angel	jimi hendrix
['A', 'Bm', 'C#m', 'A']	1,2,3,1	9.0		the revealing science of god	yes
['D', 'Em', 'F#m', 'D']	1,2,3,1	2.0		hard for young lovers	the cinematics
['C', 'Dm', 'Em', 'Am']	1,2,3,6	0.0		little train of caipira	villa-lobos
['D#m', 'Fd', 'G', 'C']	1,2,3,6	3.0		mammoth	dimitri vegas - moguai and like mike
['Gm', 'Ad', 'Gm', 'Ad']	1,2,1,2	7.0		solitary man	johnny cash
['Fm', 'Gd', 'Fm', 'Gd']	1,2,1,2	5.0		breakfast can wait	prince
['Bm', 'C#d', 'Bm', 'C#d']	1,2,1,2	11.0		speak out now	oh land
['G', 'Am', 'G', 'Am']	1,2,1,2	7.0		marvelous things	eisley
['F#', 'G#m', 'F#', 'G#m']	1,2,1,2	6.0		mind mischief	tame impala
['G', 'Am', 'G', 'Am']	1,2,1,2	7.0		galvanize	the chemical brothers
['A#', 'Cm', 'A#', 'Cm']	1,2,1,2	10.0		kanye	the chainsmokers
['D', 'Em', 'D', 'Em']	1,2,1,2	2.0		scarborough fair - canticle	simon and garfunkel
['C#', 'D#m', 'C#', 'D#m']	1,2,1,2	1.0		sail on	commodores
['Bm', 'C#d', 'Bm', 'F#m']	1,2,1,5	11.0		coming home	gorgon city
['G', 'Am', 'G', 'D']	1,2,1,5	7.0		heroes	mans zelmerlow
['C#m', 'D#d', 'C#m', 'G#m']	1,2,1,5	1.0		louie louie	the kingsmen
['A', 'Bm', 'A', 'D']	1,2,1,4	9.0		the veldt	deadmau5
['F#', 'G#m', 'F#', 'B']	1,2,1,4	6.0		reaper	sia
['D', 'Em', 'D', 'F#m']	1,2,1,3	2.0		when the sun hits	slowdive
['G#', 'A#m', 'D#', 'G#']	1,2,5,1	8.0		take a bow	madonna
['E', 'F#m', 'B', 'E']	1,2,5,1	4.0		be my baby	the ronettes
['C', 'Dm', 'G', 'C']	1,2,5,1	0.0		just a friend	biz markie
['C#m', 'D#d', 'G#m', 'C#m']	1,2,5,1	1.0		all my loving	the beatles
['A', 'Bm', 'E', 'A']	1,2,5,1	9.0		all about that bass	meghan trainor
['Fm', 'Gd', 'Cm', 'Fm']	1,2,5,1	5.0		scatman's world	scatman john
['F#', 'G#m', 'C#', 'F#']	1,2,5,1	6.0		seasons in the sun	terry jacks
['D', 'Em', 'A', 'D']	1,2,5,1	2.0		don't be cruel	elvis presley
['F#', 'G#m', 'C#', 'B']	1,2,5,4	6.0		great big storm	nate ruess
['E', 'F#m', 'B', 'A']	1,2,5,4	4.0		good day	tally hall
['F#m', 'G#d', 'C#m', 'D#']	1,2,5,6	6.0		get outta my way	kylie minogue
['D#m', 'Fd', 'A#m', 'C']	1,2,5,6	3.0		lipstick	ariel pink
['Bm', 'F#m', 'C#m', 'D#']	4,1,5,6	6.0		brand new day	mike candys
['F#m', 'C#m', 'G#m', 'A#']	4,1,5,6	1.0		stick to the status quo	high school musical
['D#', 'A#', 'F', 'Gm']	4,1,5,6	10.0		now we are free	hans zimmer
['Bm', 'F#m', 'C#m', 'D#']	4,1,5,6	6.0		brand new day	ryan star
['A', 'E', 'B', 'C#m']	4,1,5,6	4.0		peace of mind	boston
['D#', 'A#', 'F', 'Gm']	4,1,5,6	10.0		sky fits heaven	madonna
['F', 'C', 'G', 'Am']	4,1,5,6	0.0		artpop	lady gaga
['D', 'A', 'E', 'F#m']	4,1,5,6	9.0		not perfect	tim minchin
['C', 'G', 'D', 'C']	4,1,5,4	7.0		the way it is	bruce hornsby
['F', 'C', 'G', 'F']	4,1,5,4	0.0		let it be	the beatles
['F#m', 'C#m', 'G#m', 'F#m']	4,1,5,4	1.0		the great escape	boys like girls
['G', 'D', 'A', 'G']	4,1,5,4	2.0		i need you - ultravibes remix	inverse feat sally
['D#', 'A#', 'F', 'D#']	4,1,5,4	10.0		the man who can't be moved	the script
['Am', 'Em', 'Bm', 'Am']	4,1,5,4	4.0		25 or 6 to 4	chicago
['D#m', 'A#m', 'Fm', 'A#m']	4,1,5,1	10.0		maybellene	chuck berry
['C', 'G', 'D', 'G']	4,1,5,1	7.0		badge and gun	john mayer
['C', 'G', 'D', 'G']	4,1,5,1	7.0		the ship song	nick cave and the bad seeds
['A#', 'F', 'C', 'F']	4,1,5,1	5.0		a day without rain	enya
['D', 'A', 'E', 'A']	4,1,5,1	9.0		zara	arty
['F', 'C', 'G', 'C']	4,1,5,1	0.0		atlantis	donovan
['G', 'D', 'A', 'D']	4,1,5,1	2.0		come on eileen	save ferris
['D#', 'A#', 'F', 'A#']	4,1,5,1	10.0		scenes from a night's dream	genesis
['D#', 'A#', 'F', 'A#']	4,1,5,1	10.0		artificial flowers	bobby darin
['F', 'C', 'G', 'C']	4,1,5,1	0.0		come on eileen	dexys midnight runners
['Fm', 'Cm', 'Gm', 'Cm']	4,1,5,1	0.0		bancs publics	georges brassens
['C', 'G', 'D', 'G']	4,1,5,1	7.0		nikita	elton john
['D', 'A', 'D', 'A']	4,1,4,1	9.0		cryin'	aerosmith
['F', 'C', 'F', 'C']	4,1,4,1	0.0		one of my turns	pink floyd
['E', 'B', 'E', 'B']	4,1,4,1	11.0		overwhelmed	tim mcmorris
['Cm', 'Gm', 'Cm', 'Gm']	4,1,4,1	7.0		i can't make you love me	bonnie raitt
['D#m', 'A#m', 'D#m', 'A#m']	4,1,4,1	10.0		polite dance song	the bird and the bee
['D#', 'A#', 'D#', 'A#']	4,1,4,1	10.0		transdermal celebration	ween
['C', 'G', 'C', 'G']	4,1,4,1	7.0		fly by night	rush
['G#', 'D#', 'G#', 'D#']	4,1,4,1	3.0		here tonight - lush and simon remix	dash berlin and jay cosmic
['A', 'E', 'A', 'E']	4,1,4,1	4.0		le sud	nino ferrer
['Am', 'Em', 'Am', 'Em']	4,1,4,1	4.0		take me to church	hozier
['G', 'D', 'G', 'D']	4,1,4,1	2.0		lion heart	girls' generation
['F', 'C', 'F', 'C']	4,1,4,1	0.0		heart is a drum	beck
['A', 'E', 'A', 'E']	4,1,4,1	4.0		elt	wilco
['C', 'G', 'C', 'G']	4,1,4,1	7.0		merry xmas everybody	slade
['F', 'C', 'F', 'G']	4,1,4,5	0.0		can you feel the love tonight	disney
['F', 'C', 'F', 'G']	4,1,4,5	0.0		friends forever	vitamin c
['G', 'D', 'G', 'A']	4,1,4,5	2.0		all together now	the beatles
['F#m', 'C#m', 'F#m', 'G#m']	4,1,4,5	1.0		stray heart	green day
['C', 'G', 'C', 'D']	4,1,4,5	7.0		promise	stacie orrico
['A', 'E', 'A', 'B']	4,1,4,5	4.0		christmas time - don't let the bells end	the darkness
['E', 'B', 'E', 'G#m']	4,1,4,6	11.0		brighter than sunshine	aqualung
['D', 'A', 'F#m', 'E']	4,1,6,5	9.0		lady stardust	david bowie
['D', 'A', 'F#m', 'E']	4,1,6,5	9.0		daylight	matt and kim
['D', 'A', 'F#m', 'E']	4,1,6,5	9.0		no faith in brooklyn	hoodie allen
['A', 'E', 'C#m', 'B']	4,1,6,5	4.0		nude	radiohead
['Am', 'Em', 'C#', 'Bm']	4,1,6,5	4.0		fast car	tracy chapman
['E', 'B', 'G#m', 'F#']	4,1,6,5	11.0		freakish	saves the day
['Bm', 'F#m', 'D#', 'Bm']	4,1,6,4	6.0		gimme all your love	alabama shakes
['Bm', 'F#m', 'D#', 'A#']	4,1,6,3	6.0		self control	laura branigan
['F', 'G', 'Am', 'F']	4,5,6,4	0.0		california gurls	katy perry
['Gm', 'Am', 'B', 'Gm']	4,5,6,4	2.0		tik tok	kesha
['E', 'F#', 'G#m', 'E']	4,5,6,4	11.0		super bass	nicki minaj
['C', 'D', 'Em', 'C']	4,5,6,4	7.0		in the fields	doug hammer
['D#m', 'Fm', 'G', 'D#m']	4,5,6,4	10.0		thnks fr th mmrs	fall out boy
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		wolf	pyramid
['C#m', 'D#m', 'F', 'C#m']	4,5,6,4	8.0		raise your weapon - madeon remix	deadmau5
['D#m', 'Fm', 'G', 'D#m']	4,5,6,4	10.0		angel of mine	monica
['Am', 'Bm', 'C#', 'Am']	4,5,6,4	4.0		mockingbird	eminem
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		a little too not over you	david archuleta
['E', 'F#', 'G#m', 'E']	4,5,6,4	11.0		stronger	britney spears
['C#', 'D#', 'Fm', 'C#']	4,5,6,4	8.0		remember the name	fort minor
['Am', 'Bm', 'C#', 'Am']	4,5,6,4	4.0		moon trance	lindsey stirling
['Am', 'Bm', 'C#', 'Am']	4,5,6,4	4.0		human	krewella
['Cm', 'Dm', 'E', 'Cm']	4,5,6,4	7.0		we come running - vicetone remix	youngblood hawke
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		through the fire and flames	dragonforce
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		highlander	lost horizon
['Gm', 'Am', 'B', 'Gm']	4,5,6,4	2.0		fear of the dark	iron maiden
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		disconnected	pegboard nerds
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		arc of space	bruce dickinson
['G#m', 'A#m', 'C', 'G#m']	4,5,6,4	3.0		harvest of sorrow	blind guardian
['F', 'G', 'Am', 'F']	4,5,6,4	0.0		i want out	helloween
['Em', 'F#m', 'G#', 'Em']	4,5,6,4	11.0		a plea en vendredi	tamas wells
['Bm', 'C#m', 'D#', 'Bm']	4,5,6,4	6.0		i remember	tristam
['C#m', 'D#m', 'F', 'C#m']	4,5,6,4	8.0		truth	tristam
['F#', 'G#', 'A#m', 'F#']	4,5,6,4	1.0		sugar rush	nanobii
['Bm', 'C#m', 'D#', 'Bm']	4,5,6,4	6.0		afraid to shoot strangers	iron maiden
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		time	chase and status
['F', 'G', 'Am', 'F']	4,5,6,4	0.0		abracadabra	tiggy
['Bm', 'C#m', 'D#', 'Bm']	4,5,6,4	6.0		show me the meaning of being lonely	backstreet boys
['F#', 'G#', 'A#m', 'F#']	4,5,6,4	1.0		the phantom	muzzy
['Gm', 'Am', 'B', 'Gm']	4,5,6,4	2.0		layla	eric clapton
['Em', 'F#m', 'G#', 'Em']	4,5,6,4	11.0		liar liar	avicii
['G', 'A', 'Bm', 'G']	4,5,6,4	2.0		heavy duty judy	frank zappa
['Em', 'F#m', 'G#', 'Em']	4,5,6,4	11.0		brave	kelis
['F#', 'G#', 'A#m', 'F#']	4,5,6,4	1.0		desenchantee	mylene farmer
['D', 'E', 'F#m', 'D']	4,5,6,4	9.0		catch my breath	kelly clarkson
['F#m', 'G#m', 'A#', 'F#m']	4,5,6,4	1.0		maps	maroon 5
['F#', 'G#', 'A#m', 'F#']	4,5,6,4	1.0		restart	sam smith
['D#m', 'Fm', 'G', 'D#m']	4,5,6,4	10.0		i see fire	ed sheeran
['A#', 'C', 'Dm', 'A#']	4,5,6,4	5.0		never had a dream come true	s club 7
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		saturday nite	central unit
['C#', 'D#', 'Fm', 'C#']	4,5,6,4	8.0		hard times	the jetzons
['G', 'A', 'Bm', 'G']	4,5,6,4	2.0		toys	frost
['Bm', 'C#m', 'D#', 'Bm']	4,5,6,4	6.0		stars	erick strong
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		fearless challenger	nigoro
['F', 'G', 'Am', 'F']	4,5,6,4	0.0		the wall street shuffle	10cc
['Em', 'F#m', 'G#', 'Em']	4,5,6,4	11.0		subdivisions	rush
['G#m', 'A#m', 'C', 'G#m']	4,5,6,4	3.0		maniac	michael sembello
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		bad blood	bastille
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		a demon's fate	within temptation
['C#m', 'D#m', 'F', 'C#m']	4,5,6,4	8.0		brothers in arms	dire straits
['A#', 'C', 'Dm', 'A#']	4,5,6,4	5.0		oh	girls' generation
['F', 'G', 'Am', 'F']	4,5,6,4	0.0		on my mind	ellie goulding
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		sorry	madonna
['C#m', 'D#m', 'F', 'C#m']	4,5,6,4	8.0		tu angelito	chino y nacho
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		undertale	toby fox
['Bm', 'C#m', 'D#', 'Bm']	4,5,6,4	6.0		gravity	allen watts
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		like satellites - mike candys remix	manufactured superstars
['C#m', 'D#m', 'F', 'C#m']	4,5,6,4	8.0		breakdown	tantric
['Dm', 'Em', 'F#', 'Dm']	4,5,6,4	9.0		bringin' on the heartbreak	def leppard
['D#m', 'Fm', 'G', 'D#m']	4,5,6,4	10.0		let the music play	shannon
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		i need u	bts
['G', 'A', 'Bm', 'G']	4,5,6,4	2.0		aces high	iron maiden
['Fm', 'Gm', 'A', 'Fm']	4,5,6,4	0.0		hymn for the weekend	coldplay
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		dollhouse	melanie martinez
['B', 'C#', 'D#m', 'B']	4,5,6,4	6.0		reconnect	knife party
['C', 'D', 'Em', 'C']	4,5,6,4	7.0		megalovania	toby fox
['Cm', 'Dm', 'E', 'Cm']	4,5,6,4	7.0		2 phones	kevin gates
['G', 'A', 'Bm', 'G']	4,5,6,4	2.0		tragedy	steps
['F#m', 'G#m', 'A#', 'F#m']	4,5,6,4	1.0		the only way is up	martin garrix - tiesto
['C#', 'D#', 'Fm', 'C#']	4,5,6,4	8.0		rock club	anamanaguchi
['A#m', 'Cm', 'D', 'A#m']	4,5,6,4	5.0		stardust	jay hardway
['D#', 'F', 'Gm', 'D#']	4,5,6,4	10.0		all i do is win	dj khaled
['A#', 'C', 'Dm', 'A#']	4,5,6,4	5.0		right now	van halen
['C#', 'D#', 'Fm', 'D#']	4,5,6,5	8.0		rolling in the deep	adele
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		somebody that i used to know	gotye
['C#', 'D#', 'Fm', 'D#']	4,5,6,5	8.0		all along the watchtower	jimi hendrix
['Dm', 'Em', 'F#', 'Em']	4,5,6,5	9.0		live forever	oasis
['Cm', 'Dm', 'E', 'Dm']	4,5,6,5	7.0		scary monsters and nice sprites	skrillex
['C#m', 'D#m', 'F', 'D#m']	4,5,6,5	8.0		girl gone wild	madonna
['A#m', 'Cm', 'D', 'Cm']	4,5,6,5	5.0		toulouse	nicky romero
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		somebody that used to know	gotye
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		come sail away	styx
['A#m', 'Cm', 'D', 'Cm']	4,5,6,5	5.0		afro blue	john coltrane
['C', 'D', 'Em', 'D']	4,5,6,5	7.0		tearin' up my heart	nsync
['F#m', 'G#m', 'A#', 'G#m']	4,5,6,5	1.0		all along the watchtower	bob dylan
['B', 'C#', 'D#m', 'C#']	4,5,6,5	6.0		doin' it right	daft punk
['Gm', 'Am', 'B', 'Am']	4,5,6,5	2.0		afro blue	mongo santamaria
['B', 'C#', 'D#m', 'C#']	4,5,6,5	6.0		girls just want to have fun	cyndi lauper
['G#', 'A#', 'Cm', 'A#']	4,5,6,5	3.0		anywhere is	enya
['G#m', 'A#m', 'C', 'A#m']	4,5,6,5	3.0		rage valley	knife party
['Em', 'F#m', 'G#', 'F#m']	4,5,6,5	11.0		t-rex	mike candys
['E', 'F#', 'G#m', 'F#']	4,5,6,5	11.0		man on the run	dash berlin
['D', 'E', 'F#m', 'E']	4,5,6,5	9.0		do what u want	lady gaga
['Am', 'Bm', 'C#', 'Bm']	4,5,6,5	4.0		halloween	helloween
['D#m', 'Fm', 'G', 'Fm']	4,5,6,5	10.0		carte blanche	veracocha
['Cm', 'Dm', 'E', 'Dm']	4,5,6,5	7.0		miami 2 ibiza	swedish house mafia
['F#', 'G#', 'A#m', 'G#']	4,5,6,5	1.0		sheezus	lily allen
['Dm', 'Em', 'F#', 'Em']	4,5,6,5	9.0		gold skies	sander van doorn martin garrix dvbbs
['Dm', 'Em', 'F#', 'Em']	4,5,6,5	9.0		this is how we do	katy perry
